,instance,instance,instance,constructive,constructive,constructive,local search,local search,local search,improvement,improvement
,n,p,alpha,heuristic,OF,seconds,heuristic,OF,seconds,absolute,relative %
135,500,50,3,pdp_based,209,0.4007148999990022,interchange_first_1,189,133.4408274999987,20,9.569377990430622
136,100,10,3,pdp_based,548,0.003619899998739129,interchange_first_1,453,0.6216479000013351,95,17.335766423357665
137,500,50,3,pdp_based,209,0.374219000001176,interchange_first_1,202,93.82847660000152,7,3.349282296650718
138,100,10,3,pdp_based,561,0.003194900000380585,interchange_first_1,474,0.3571563999994396,87,15.508021390374333
139,500,50,3,pdp_based,231,0.3330158000007941,interchange_first_1,198,100.50059469999906,33,14.285714285714285
140,100,10,3,pdp_based,513,0.0033029000005626585,interchange_first_1,438,1.43575090000013,75,14.619883040935672
141,500,50,3,pdp_based,219,0.29656989999966754,interchange_first_1,196,73.24435790000098,23,10.50228310502283
142,100,10,3,pdp_based,544,0.0031159999998635612,interchange_first_1,465,0.6356994999987364,79,14.522058823529413
143,500,50,3,pdp_based,227,0.29499069999837957,interchange_first_1,203,77.12719419999848,24,10.572687224669604
144,100,10,3,pdp_based,513,0.0032733999996708008,interchange_first_1,439,0.31044680000013614,74,14.42495126705653
145,500,50,3,pdp_based,215,0.29565790000015113,interchange_first_1,184,98.0353828999996,31,14.418604651162791
146,100,10,3,pdp_based,513,0.003104900000835187,interchange_first_1,510,0.2117500000003929,3,0.5847953216374269
147,500,50,3,pdp_based,201,0.3511012999988452,interchange_first_1,188,102.24329519999992,13,6.467661691542288
148,100,10,3,pdp_based,555,0.003174800000124378,interchange_first_1,500,0.22848449999946752,55,9.90990990990991
149,500,50,3,pdp_based,211,0.3057604000005085,interchange_first_1,191,72.52627799999937,20,9.47867298578199
150,100,10,3,pdp_based,530,0.0035302000014780788,interchange_first_1,453,0.5055406999999832,77,14.528301886792452
151,500,50,3,pdp_based,228,0.32338270000036573,interchange_first_1,194,76.29018499999984,34,14.912280701754385
152,100,10,3,pdp_based,551,0.003287399998953333,interchange_first_1,461,0.8532254999990982,90,16.33393829401089
153,500,50,3,pdp_based,199,0.30608010000105423,interchange_first_1,185,97.42814720000024,14,7.035175879396985
154,100,10,3,pdp_based,534,0.0035267999992356636,interchange_first_1,460,0.9115166000010504,74,13.857677902621724
155,500,50,3,pdp_based,211,0.34357879999879515,interchange_first_1,193,73.73224980000123,18,8.530805687203792
156,100,10,3,pdp_based,503,0.0033691999997245148,interchange_first_1,470,0.519171699999788,33,6.560636182902585
157,500,50,3,pdp_based,229,0.33659310000075493,interchange_first_1,194,71.72016499999881,35,15.283842794759824
158,100,10,3,pdp_based,520,0.003180699999575154,interchange_first_1,431,0.9405504000005749,89,17.115384615384617
159,500,50,3,pdp_based,211,0.301415599999018,interchange_first_1,186,139.42313920000015,25,11.848341232227488
